ITEM,Departamento,Municipio,Año,Mes,Contrato,Campo,Tipo Prod,Tipo Hidrocarburo,Precio Hidrocarburo USD,Porc Regalia,Prod. Gravable Bls/Kpc,Volumen Regalia Bls/Kpc,Regalias COP,Trm Promedio,Regimen Reg
323,ARAUCA,ARAUCA,2017,1,CRAVO NORTE,REDONDO,QB,G,6.05,0.2,3,0.6,10677.75,2941.4,Ley 141 20%
1,ANTIOQUIA,PUERTO NARE,2017,1,CONTRATO DE COLABORACIÓN EMPRESARIAL CAMPO ÁREA TECA – COCORNÁ ENTRE ECOPETROL S,AREA TECA-COCORNA,I,O,37.63,0.06,0,0,0,2941.4,Ley 756 8% variable
2,ANTIOQUIA,PUERTO NARE,2017,1,NARE ASOCIACION,NARE,B,G,3.06,0.2,0,0,0,2941.4,Ley 141 20%
3,ANTIOQUIA,PUERTO NARE,2017,1,NARE ASOCIACION,NARE,B,O,30.32,0.2,8424,1684.8,150269316.27,2941.4,Ley 141 20%
4,ANTIOQUIA,PUERTO NARE,2017,1,NARE ASOCIACION,UNDERRIVER,P,O,28.52,0.06,29006,1740.36,145993003.25,2941.4,Ley 756 8% variable
5,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.12,0,0,0,2941.4,ARTICULO 39 LEY 756
6,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.7,0.12,3977,477.24,5199784.59,2941.4,ARTICULO 39 LEY 756
7,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.12,16737,2008.44,222274406.27,2941.4,ARTICULO 39 LEY 756
8,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.12,0,0,0,2941.4,ARTICULO 39 LEY 756
9,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.12,0,0,0,2941.4,ARTICULO 39 LEY 756
10,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.7,0.2,3977,795.4,8666307.6,2941.4,Ley 141 20%
11,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.2,0,0,0,2941.4,Ley 141 20%
12,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.2,16737,3347.4,370457343.25,2941.4,Ley 141 20%
13,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.7,0.2,0,0,0,2941.4,Ley 141 20%
14,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,37.63,0.2,0,0,0,2941.4,Ley 141 20%
15,ANTIOQUIA,PUERTO NARE,2017,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,37.63,0.06,19071,1144.26,126635454.37,2941.4,Ley 756 8% variable
16,ANTIOQUIA,PUERTO NARE,2017,2,CONTRATO DE COLABORACIÓN EMPRESARIAL CAMPO ÁREA TECA – COCORNÁ ENTRE ECOPETROL S,AREA TECA-COCORNA,I,O,39.7,0.06,0,0,0,2879.57,Ley 756 8% variable
17,ANTIOQUIA,PUERTO NARE,2017,2,NARE ASOCIACION,NARE,B,G,3.11,0.2,0,0,0,2879.57,Ley 141 20%
18,ANTIOQUIA,PUERTO NARE,2017,2,NARE ASOCIACION,NARE,B,O,32.4,0.2,7197,1439.4,134298627.24,2879.57,Ley 141 20%
19,ANTIOQUIA,PUERTO NARE,2017,2,NARE ASOCIACION,UNDERRIVER,P,O,30.62,0.06,22314,1338.84,118044925.39,2879.57,Ley 756 8% variable
20,ANTIOQUIA,PUERTO NARE,2017,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,G,3.77,0.12,0,0,0,2879.57,ARTICULO 39 LEY 756
